Fund_Name,Fund_ID,Bank,Account_Number,Currency,Balance_Local,Balance_USD,As_Of_Date,Account_Type
Meridian Fund I,MF-001,JPMorgan Chase,****4824,USD,1750000,1750000,2026-04-30,Operating
Meridian Fund II,MF-002,Bank of America,****3359,USD,3600000,3600000,2026-04-30,Operating
Meridian Fund III,MF-003,Deutsche Bank,****5520,EUR,950000,1026000,2026-04-30,Reserve
Meridian Fund V,MF-005,BNP Paribas,****4490,EUR,2100000,2268000,2026-04-30,Operating
Meridian Fund VI,MF-006,Wells Fargo,****9907,USD,2950000,2950000,2026-04-30,Reserve
Meridian Fund VIII,MF-008,HSBC,****8819,GBP,1100000,1397000,2026-04-30,Operating
Meridian Fund I,MF-001,Barclays,****7105,USD,2400000,2400000,2026-04-30,Operating
Meridian Fund II,MF-002,HSBC,****6292,EUR,3300000,3564000,2026-04-30,Operating
Meridian Fund III,MF-003,Citibank,****5516,USD,1500000,1500000,2026-04-30,Reserve
Meridian Fund IV,MF-004,Goldman Sachs,****8844,USD,2700000,2700000,2026-04-30,Operating
Meridian Fund VI,MF-006,JPMorgan Chase,****7234,USD,4200000,4200000,2026-04-30,Operating
Meridian Fund VII,MF-007,Bank of America,****2850,USD,1600000,1600000,2026-04-30,Operating
Meridian Fund VIII,MF-008,Citibank,****6697,USD,1950000,1950000,2026-04-30,Distribution
Meridian Fund V,MF-005,JPMorgan Chase,****1178,USD,3200000,3200000,2026-04-30,Reserve
Meridian Fund III,MF-003,Deutsche Bank,****5521,EUR,1750000,1890000,2026-04-30,Operating
